Zeit;Kanal A
(ms);(mV)

-25,00933239;-0,18639270
-25,00433239;-0,18639270
-24,99933239;-1,49298700
-24,99433239;-0,37278540
-24,98933239;-0,74618600
-24,98433239;2,05339600
-24,97933239;-0,74618600
-24,97433239;0,00000000
-24,96933239;0,18639270
-24,96433239;-0,37278540
-24,95933239;-0,18639270
-24,95433239;-0,37278540
-24,94933239;-0,55979330
-24,94433239;-1,30659400
-24,93933239;-0,18639270
-24,93433239;-0,93319390
-24,92933239;-0,74618600
-24,92433239;-0,37278540
-24,91933239;-0,55979330
-24,91433239;-0,37278540
-24,90933239;-0,37278540
-24,90433239;-0,55979330
-24,89933239;-0,55979330
-24,89433239;-0,74618600
-24,88933239;-0,93319390
-24,88433239;-0,93319390
-24,87933239;-1,11958700
-24,87433239;-1,11958700
-24,86933239;-0,74618600
-24,86433239;-0,37278540
-24,85933239;-0,74618600
-24,85433239;-0,93319390
-24,84933239;-1,11958700
-24,84433239;-1,30659400
-24,83933239;-1,11958700
-24,83433239;-1,67999500
-24,82933239;-1,49298700
-24,82433239;-1,11958700
-24,81933239;-1,30659400
-24,81433239;-0,93319390
-24,80933239;-1,49298700
-24,80433239;-1,30659400
-24,79933239;-0,74618600
-24,79433239;-1,11958700
-24,78933239;-0,93319390
-24,78433239;-1,30659400
-24,77933239;-2,05339600
-24,77433239;-0,55979330
-24,76933239;-0,55979330
-24,76433239;-0,37278540
-24,75933239;-0,74618600
-24,75433239;-0,37278540
-24,74933239;-0,93319390
-24,74433239;-0,74618600
-24,73933239;-1,11958700
-24,73433239;-0,74618600
-24,72933239;-0,74618600
-24,72433239;-0,55979330
-24,71933239;-0,37278540
-24,71433239;-0,74618600
-24,70933239;-0,37278540
-24,70433239;-0,55979330
-24,69933239;-0,55979330
-24,69433239;-0,55979330
-24,68933239;-0,55979330
-24,68433239;-0,37278540
-24,67933239;0,00000000
-24,67433239;0,00000000
-24,66933239;0,00000000
-24,66433239;-0,37278540
-24,65933239;0,00000000
-24,65433239;-0,93319390
