Zeit;Kanal A
(ms);(mV)

-25,00949905;0,55979330
-25,00449905;0,55979330
-24,99949905;-1,49298700
-24,99449905;0,55979330
-24,98949905;0,37278540
-24,98449905;0,55979330
-24,97949905;0,18639270
-24,97449905;0,18639270
-24,96949905;-0,37278540
-24,96449905;-0,74618600
-24,95949905;-0,55979330
-24,95449905;-1,67999500
-24,94949905;0,00000000
-24,94449905;0,00000000
-24,93949905;-0,18639270
-24,93449905;-0,37278540
-24,92949905;-0,55979330
-24,92449905;-0,37278540
-24,91949905;0,00000000
-24,91449905;-0,18639270
-24,90949905;0,37278540
-24,90449905;0,18639270
-24,89949905;0,18639270
-24,89449905;-0,18639270
-24,88949905;0,18639270
-24,88449905;0,37278540
-24,87949905;0,37278540
-24,87449906;0,00000000
-24,86949906;0,00000000
-24,86449906;0,55979330
-24,85949906;-0,18639270
-24,85449906;0,37278540
-24,84949906;-0,55979330
-24,84449906;-0,74618600
-24,83949906;0,00000000
-24,83449906;-1,11958700
-24,82949906;-1,30659400
-24,82449906;-0,93319390
-24,81949906;-0,74618600
-24,81449906;-0,93319390
-24,80949906;-0,93319390
-24,80449906;-0,93319390
-24,79949906;-1,11958700
-24,79449906;-0,74618600
-24,78949906;-0,74618600
-24,78449906;-1,67999500
-24,77949906;-0,74618600
-24,77449906;-0,18639270
-24,76949906;0,00000000
-24,76449906;-0,74618600
-24,75949906;-0,37278540
-24,75449906;0,00000000
-24,74949906;-0,37278540
-24,74449906;-0,37278540
-24,73949906;0,00000000
-24,73449906;-0,37278540
-24,72949906;0,00000000
-24,72449906;0,00000000
-24,71949906;0,37278540
-24,71449906;-0,55979330
-24,70949906;-0,37278540
-24,70449906;-0,74618600
-24,69949906;-0,37278540
-24,69449906;-0,18639270
-24,68949906;-0,55979330
-24,68449906;-0,37278540
-24,67949906;-0,93319390
-24,67449906;-0,55979330
-24,66949906;0,00000000
-24,66449906;-0,37278540
-24,65949906;-0,74618600
-24,65449906;-0,37278540
-24,64949906;-0,74618600
-24,64449906;-0,55979330
