Zeit;Kanal A
(ms);(mV)

-25,00916572;0,18639270
-25,00416572;0,00000000
-24,99916572;0,00000000
-24,99416572;-0,74618600
-24,98916572;0,74618600
-24,98416572;-0,74618600
-24,97916572;-0,18639270
-24,97416572;-0,93319390
-24,96916572;0,00000000
-24,96416572;0,00000000
-24,95916572;-0,37278540
-24,95416572;0,00000000
-24,94916572;0,00000000
-24,94416572;-0,55979330
-24,93916572;-0,37278540
-24,93416572;-0,37278540
-24,92916572;-0,37278540
-24,92416572;-0,74618600
-24,91916572;-0,55979330
-24,91416572;-0,74618600
-24,90916572;-0,74618600
-24,90416572;-1,11958700
-24,89916572;-1,67999500
-24,89416572;-0,93319390
-24,88916572;-1,30659400
-24,88416572;-1,11958700
-24,87916572;-0,55979330
-24,87416572;-0,18639270
-24,86916572;-0,74618600
-24,86416572;-0,37278540
-24,85916572;-0,74618600
-24,85416572;-0,55979330
-24,84916572;-0,37278540
-24,84416572;0,00000000
-24,83916572;-1,11958700
-24,83416572;0,00000000
-24,82916572;-0,55979330
-24,82416572;-0,37278540
-24,81916572;0,00000000
-24,81416572;-0,37278540
-24,80916572;-1,11958700
-24,80416572;-0,18639270
-24,79916572;0,00000000
-24,79416572;-0,55979330
-24,78916572;-0,55979330
-24,78416572;-0,74618600
-24,77916572;0,00000000
-24,77416572;-0,37278540
-24,76916572;-0,37278540
-24,76416572;0,00000000
-24,75916572;-0,74618600
-24,75416572;-0,37278540
-24,74916572;-0,74618600
-24,74416573;-0,18639270
-24,73916573;-0,55979330
-24,73416573;-0,37278540
-24,72916573;-1,11958700
-24,72416573;-0,74618600
-24,71916573;-0,74618600
-24,71416573;-0,37278540
-24,70916573;-0,18639270
-24,70416573;-1,11958700
-24,69916573;-1,49298700
-24,69416573;-1,30659400
-24,68916573;-0,93319390
-24,68416573;-0,74618600
-24,67916573;-1,11958700
-24,67416573;-1,11958700
-24,66916573;-1,11958700
-24,66416573;-1,11958700
-24,65916573;-1,30659400
-24,65416573;-1,11958700
-24,64916573;-1,30659400
