Zeit;Kanal A
(ms);(mV)

-25,00624905;0,00000000
-25,00124905;-0,37278540
-24,99624905;0,00000000
-24,99124905;0,00000000
-24,98624905;-0,37278540
-24,98124905;0,00000000
-24,97624905;-0,18639270
-24,97124905;-0,18639270
-24,96624905;-0,18639270
-24,96124905;0,00000000
-24,95624905;0,37278540
-24,95124905;0,18639270
-24,94624905;0,18639270
-24,94124905;0,37278540
-24,93624905;0,00000000
-24,93124905;0,55979330
-24,92624905;1,11958700
-24,92124905;0,55979330
-24,91624905;0,55979330
-24,91124905;0,18639270
-24,90624905;0,55979330
-24,90124905;0,00000000
-24,89624905;-0,37278540
-24,89124905;0,18639270
-24,88624905;0,00000000
-24,88124905;-0,18639270
-24,87624905;0,00000000
-24,87124906;0,55979330
-24,86624906;0,00000000
-24,86124906;-0,37278540
-24,85624906;-0,74618600
-24,85124906;-0,74618600
-24,84624906;-0,18639270
-24,84124906;0,00000000
-24,83624906;-0,37278540
-24,83124906;1,49298700
-24,82624906;0,00000000
-24,82124906;0,18639270
-24,81624906;0,00000000
-24,81124906;0,18639270
-24,80624906;0,18639270
-24,80124906;0,18639270
-24,79624906;-0,18639270
-24,79124906;0,00000000
-24,78624906;-0,37278540
-24,78124906;-0,18639270
-24,77624906;0,18639270
-24,77124906;0,00000000
-24,76624906;-1,11958700
-24,76124906;0,18639270
-24,75624906;0,00000000
-24,75124906;0,00000000
-24,74624906;0,00000000
-24,74124906;-0,18639270
-24,73624906;-0,18639270
-24,73124906;-0,37278540
-24,72624906;0,00000000
-24,72124906;-0,37278540
-24,71624906;-0,93319390
-24,71124906;0,00000000
-24,70624906;-0,37278540
-24,70124906;-0,55979330
-24,69624906;-0,93319390
-24,69124906;-0,37278540
-24,68624906;-2,05339600
-24,68124906;-0,55979330
-24,67624906;-0,37278540
-24,67124906;-0,37278540
-24,66624906;-0,37278540
-24,66124906;-1,11958700
-24,65624906;-0,93319390
-24,65124906;-0,37278540
-24,64624906;-0,74618600
-24,64124906;-0,93319390
-24,63624906;-1,11958700
