Zeit;Kanal A
(ms);(mV)

-25,00749905;-0,55979330
-25,00249905;0,37278540
-24,99749905;-0,74618600
-24,99249905;0,18639270
-24,98749905;-0,18639270
-24,98249905;-0,55979330
-24,97749905;-0,37278540
-24,97249905;-0,93319390
-24,96749905;-0,37278540
-24,96249905;0,18639270
-24,95749905;-0,18639270
-24,95249905;0,00000000
-24,94749905;0,37278540
-24,94249905;0,55979330
-24,93749905;0,74618600
-24,93249905;0,55979330
-24,92749905;0,74618600
-24,92249905;0,93319390
-24,91749905;0,74618600
-24,91249905;0,37278540
-24,90749905;0,18639270
-24,90249905;0,55979330
-24,89749905;0,18639270
-24,89249905;0,18639270
-24,88749905;0,00000000
-24,88249905;-0,18639270
-24,87749905;0,00000000
-24,87249906;0,00000000
-24,86749906;-0,18639270
-24,86249906;-0,18639270
-24,85749906;-0,55979330
-24,85249906;0,00000000
-24,84749906;-1,49298700
-24,84249906;-0,74618600
-24,83749906;-0,74618600
-24,83249906;-0,18639270
-24,82749906;-0,18639270
-24,82249906;0,00000000
-24,81749906;0,00000000
-24,81249906;-0,74618600
-24,80749906;0,00000000
-24,80249906;0,18639270
-24,79749906;-0,18639270
-24,79249906;0,00000000
-24,78749906;0,18639270
-24,78249906;0,18639270
-24,77749906;0,37278540
-24,77249906;0,18639270
-24,76749906;-0,37278540
-24,76249906;-0,37278540
-24,75749906;0,00000000
-24,75249906;0,00000000
-24,74749906;0,37278540
-24,74249906;-0,18639270
-24,73749906;0,00000000
-24,73249906;0,00000000
-24,72749906;0,00000000
-24,72249906;-0,18639270
-24,71749906;-0,37278540
-24,71249906;-0,37278540
-24,70749906;0,00000000
-24,70249906;0,18639270
-24,69749906;-0,37278540
-24,69249906;0,18639270
-24,68749906;-0,37278540
-24,68249906;-0,37278540
-24,67749906;-0,37278540
-24,67249906;-0,37278540
-24,66749906;-0,55979330
-24,66249906;-0,93319390
-24,65749906;0,00000000
-24,65249906;-0,55979330
-24,64749906;-0,18639270
-24,64249906;-0,74618600
-24,63749906;-0,74618600
