Zeit;Kanal A
(ms);(mV)

-25,00944350;-1,11958700
-25,00444350;-1,11958700
-24,99944350;-1,11958700
-24,99444350;-0,74618600
-24,98944350;-1,30659400
-24,98444350;-1,49298700
-24,97944350;-1,11958700
-24,97444350;-1,11958700
-24,96944350;-1,11958700
-24,96444350;-0,74618600
-24,95944350;-0,93319390
-24,95444350;-0,74618600
-24,94944350;-0,74618600
-24,94444350;-0,37278540
-24,93944350;-0,37278540
-24,93444350;0,00000000
-24,92944350;-1,30659400
-24,92444350;-0,37278540
-24,91944350;-0,55979330
-24,91444350;-0,18639270
-24,90944350;-0,55979330
-24,90444350;-0,18639270
-24,89944350;-0,37278540
-24,89444350;-0,55979330
-24,88944350;-0,55979330
-24,88444350;-0,37278540
-24,87944350;-0,93319390
-24,87444350;0,00000000
-24,86944350;-0,93319390
-24,86444350;-0,55979330
-24,85944350;-0,74618600
-24,85444350;0,00000000
-24,84944350;-0,55979330
-24,84444350;-0,37278540
-24,83944350;-1,11958700
-24,83444350;-0,37278540
-24,82944350;-0,18639270
-24,82444350;-0,74618600
-24,81944350;-0,37278540
-24,81444350;-1,86638800
-24,80944350;-0,93319390
-24,80444350;-0,74618600
-24,79944350;-0,93319390
-24,79444350;-0,55979330
-24,78944350;-0,74618600
-24,78444350;-0,74618600
-24,77944350;-0,74618600
-24,77444350;-0,55979330
-24,76944350;-0,74618600
-24,76444350;-1,30659400
-24,75944350;-1,11958700
-24,75444350;-0,74618600
-24,74944350;-1,11958700
-24,74444350;-0,74618600
-24,73944350;-1,11958700
-24,73444350;-1,11958700
-24,72944350;-1,11958700
-24,72444350;-1,67999500
-24,71944350;-1,30659400
-24,71444350;-1,49298700
-24,70944350;-1,49298700
-24,70444350;-1,49298700
-24,69944350;-1,11958700
-24,69444350;-1,67999500
-24,68944350;-2,23978800
-24,68444350;-1,30659400
-24,67944350;-1,67999500
-24,67444350;-1,30659400
-24,66944350;-1,67999500
-24,66444350;-1,49298700
-24,65944350;-1,30659400
-24,65444351;-1,30659400
