Zeit;Kanal A
(ms);(mV)

-25,00899905;-0,37278540
-25,00399905;-0,37278540
-24,99899905;0,00000000
-24,99399905;0,74618600
-24,98899905;0,00000000
-24,98399905;0,00000000
-24,97899905;-0,37278540
-24,97399905;0,00000000
-24,96899905;0,00000000
-24,96399905;-0,37278540
-24,95899905;-0,18639270
-24,95399905;0,18639270
-24,94899905;0,55979330
-24,94399905;0,18639270
-24,93899905;0,18639270
-24,93399905;0,37278540
-24,92899905;0,93319390
-24,92399905;0,18639270
-24,91899905;0,18639270
-24,91399905;0,18639270
-24,90899905;1,11958700
-24,90399905;0,55979330
-24,89899905;0,37278540
-24,89399905;0,74618600
-24,88899905;0,00000000
-24,88399905;0,00000000
-24,87899905;0,55979330
-24,87399906;-0,55979330
-24,86899906;0,55979330
-24,86399906;-0,37278540
-24,85899906;-0,18639270
-24,85399906;-0,37278540
-24,84899906;-0,37278540
-24,84399906;-0,74618600
-24,83899906;-0,55979330
-24,83399906;0,00000000
-24,82899906;0,00000000
-24,82399906;0,00000000
-24,81899906;0,00000000
-24,81399906;-0,37278540
-24,80899906;0,00000000
-24,80399906;0,55979330
-24,79899906;-0,37278540
-24,79399906;0,18639270
-24,78899906;0,37278540
-24,78399906;-1,11958700
-24,77899906;-0,37278540
-24,77399906;-0,18639270
-24,76899906;-0,18639270
-24,76399906;-0,37278540
-24,75899906;-0,55979330
-24,75399906;0,00000000
-24,74899906;-0,18639270
-24,74399906;-0,18639270
-24,73899906;-0,37278540
-24,73399906;0,00000000
-24,72899906;-0,18639270
-24,72399906;0,37278540
-24,71899906;-0,37278540
-24,71399906;0,00000000
-24,70899906;-0,37278540
-24,70399906;0,18639270
-24,69899906;0,00000000
-24,69399906;0,18639270
-24,68899906;-0,37278540
-24,68399906;0,00000000
-24,67899906;-0,37278540
-24,67399906;-0,18639270
-24,66899906;-0,37278540
-24,66399906;-1,30659400
-24,65899906;-1,11958700
-24,65399906;-1,11958700
-24,64899906;-1,11958700
-24,64399906;-1,11958700
-24,63899906;-1,49298700
