Zeit;Kanal A
(ms);(mV)

-25,00949905;-0,74618600
-25,00449905;0,00000000
-24,99949905;1,86638800
-24,99449905;0,55979330
-24,98949905;0,18639270
-24,98449905;0,18639270
-24,97949905;0,18639270
-24,97449905;0,00000000
-24,96949905;-0,18639270
-24,96449905;0,18639270
-24,95949905;-0,37278540
-24,95449905;-0,37278540
-24,94949905;0,18639270
-24,94449905;0,00000000
-24,93949905;0,00000000
-24,93449905;-0,18639270
-24,92949905;0,00000000
-24,92449905;0,00000000
-24,91949905;0,18639270
-24,91449905;-0,55979330
-24,90949905;0,00000000
-24,90449905;-0,93319390
-24,89949905;-0,18639270
-24,89449905;-0,37278540
-24,88949905;-0,37278540
-24,88449905;-0,18639270
-24,87949905;-0,18639270
-24,87449906;-0,74618600
-24,86949906;-0,37278540
-24,86449906;-1,11958700
-24,85949906;-0,37278540
-24,85449906;-0,74618600
-24,84949906;-0,37278540
-24,84449906;-0,93319390
-24,83949906;-0,93319390
-24,83449906;-0,74618600
-24,82949906;-0,74618600
-24,82449906;-0,74618600
-24,81949906;-0,74618600
-24,81449906;-0,74618600
-24,80949906;-0,74618600
-24,80449906;-0,74618600
-24,79949906;-1,11958700
-24,79449906;-0,93319390
-24,78949906;-1,11958700
-24,78449906;-1,11958700
-24,77949906;-1,86638800
-24,77449906;-2,61318900
-24,76949906;-1,67999500
-24,76449906;-1,49298700
-24,75949906;-1,67999500
-24,75449906;-1,67999500
-24,74949906;-1,86638800
-24,74449906;-2,23978800
-24,73949906;-1,86638800
-24,73449906;-1,67999500
-24,72949906;-2,23978800
-24,72449906;-2,05339600
-24,71949906;-2,05339600
-24,71449906;-1,67999500
-24,70949906;-1,30659400
-24,70449906;-1,49298700
-24,69949906;-1,11958700
-24,69449906;-1,49298700
-24,68949906;-1,30659400
-24,68449906;-1,49298700
-24,67949906;-1,11958700
-24,67449906;-1,30659400
-24,66949906;-0,93319390
-24,66449906;-0,93319390
-24,65949906;-0,74618600
-24,65449906;-0,55979330
-24,64949906;-1,30659400
