Zeit;Kanal A
(ms);(mV)

-25,00857048;0,55979330
-25,00357048;0,18639270
-24,99857048;0,18639270
-24,99357048;0,00000000
-24,98857048;0,00000000
-24,98357048;0,00000000
-24,97857048;-0,37278540
-24,97357048;-0,18639270
-24,96857048;-0,55979330
-24,96357048;-0,37278540
-24,95857048;-0,74618600
-24,95357048;-0,74618600
-24,94857048;-1,11958700
-24,94357048;-1,11958700
-24,93857048;-0,37278540
-24,93357048;-0,55979330
-24,92857048;-0,55979330
-24,92357048;-0,37278540
-24,91857048;-0,37278540
-24,91357048;0,00000000
-24,90857048;0,18639270
-24,90357048;-0,37278540
-24,89857048;0,18639270
-24,89357048;0,00000000
-24,88857048;-0,37278540
-24,88357048;0,55979330
-24,87857048;0,18639270
-24,87357048;-0,74618600
-24,86857048;0,00000000
-24,86357048;-0,37278540
-24,85857048;0,00000000
-24,85357048;-1,30659400
-24,84857048;-0,55979330
-24,84357048;-1,11958700
-24,83857048;-1,30659400
-24,83357048;-1,11958700
-24,82857048;-0,74618600
-24,82357048;-1,11958700
-24,81857049;-1,11958700
-24,81357049;-1,11958700
-24,80857049;-0,93319390
-24,80357049;-0,93319390
-24,79857049;-0,55979330
-24,79357049;-0,18639270
-24,78857049;-0,37278540
-24,78357049;-0,37278540
-24,77857049;0,00000000
-24,77357049;-0,37278540
-24,76857049;-0,37278540
-24,76357049;0,00000000
-24,75857049;0,18639270
-24,75357049;-0,74618600
-24,74857049;-0,37278540
-24,74357049;-0,37278540
-24,73857049;-0,37278540
-24,73357049;-0,37278540
-24,72857049;-0,74618600
-24,72357049;0,37278540
-24,71857049;-0,37278540
-24,71357049;0,00000000
-24,70857049;-0,37278540
-24,70357049;-0,37278540
-24,69857049;-0,74618600
-24,69357049;-0,74618600
-24,68857049;-1,30659400
-24,68357049;-1,11958700
-24,67857049;-0,37278540
-24,67357049;0,93319390
-24,66857049;0,18639270
-24,66357049;-0,55979330
-24,65857049;-0,74618600
-24,65357049;-0,74618600
-24,64857049;-1,11958700
