Zeit;Kanal A
(ms);(mV)

-25,00882258;0,18639270
-25,00382258;-0,18639270
-24,99882258;0,00000000
-24,99382258;0,18639270
-24,98882258;-0,18639270
-24,98382258;-0,74618600
-24,97882258;0,18639270
-24,97382258;0,55979330
-24,96882258;-0,55979330
-24,96382258;0,18639270
-24,95882258;0,18639270
-24,95382258;-0,37278540
-24,94882258;0,00000000
-24,94382258;-0,37278540
-24,93882258;0,74618600
-24,93382258;0,00000000
-24,92882258;0,18639270
-24,92382258;0,00000000
-24,91882258;1,30659400
-24,91382258;-0,37278540
-24,90882258;-0,18639270
-24,90382258;0,18639270
-24,89882258;0,00000000
-24,89382258;-0,37278540
-24,88882258;0,00000000
-24,88382258;0,18639270
-24,87882258;0,18639270
-24,87382258;0,00000000
-24,86882258;0,37278540
-24,86382258;0,00000000
-24,85882258;0,18639270
-24,85382259;0,18639270
-24,84882259;-0,18639270
-24,84382259;0,00000000
-24,83882259;0,74618600
-24,83382259;0,18639270
-24,82882259;0,00000000
-24,82382259;-0,74618600
-24,81882259;0,18639270
-24,81382259;-0,37278540
-24,80882259;0,00000000
-24,80382259;-0,37278540
-24,79882259;-0,37278540
-24,79382259;0,93319390
-24,78882259;0,00000000
-24,78382259;1,11958700
-24,77882259;0,37278540
-24,77382259;0,00000000
-24,76882259;0,18639270
-24,76382259;0,00000000
-24,75882259;0,18639270
-24,75382259;0,00000000
-24,74882259;-0,37278540
-24,74382259;-0,55979330
-24,73882259;0,00000000
-24,73382259;0,18639270
-24,72882259;0,00000000
-24,72382259;-0,37278540
-24,71882259;0,55979330
-24,71382259;0,00000000
-24,70882259;0,00000000
-24,70382259;0,00000000
-24,69882259;0,55979330
-24,69382259;0,00000000
-24,68882259;0,00000000
-24,68382259;-0,37278540
-24,67882259;0,18639270
-24,67382259;0,00000000
-24,66882259;0,00000000
-24,66382259;0,18639270
-24,65882259;0,00000000
-24,65382259;0,00000000
-24,64882259;-0,18639270
-24,64382259;-0,18639270
-24,63882259;0,18639270
-24,63382259;0,00000000
