Zeit;Kanal A
(ms);(mV)

-25,00954451;0,37278540
-25,00454451;0,37278540
-24,99954451;0,18639270
-24,99454451;0,00000000
-24,98954451;0,00000000
-24,98454451;0,18639270
-24,97954451;0,00000000
-24,97454451;-0,37278540
-24,96954451;-0,93319390
-24,96454451;-1,11958700
-24,95954451;-0,55979330
-24,95454451;-1,11958700
-24,94954451;-0,74618600
-24,94454451;-0,74618600
-24,93954451;-0,93319390
-24,93454451;-1,11958700
-24,92954451;-0,74618600
-24,92454451;-0,74618600
-24,91954451;-0,37278540
-24,91454451;-1,11958700
-24,90954451;-1,11958700
-24,90454451;-0,74618600
-24,89954451;-0,37278540
-24,89454451;0,00000000
-24,88954451;-0,55979330
-24,88454451;-0,74618600
-24,87954451;-0,37278540
-24,87454451;-0,37278540
-24,86954451;0,00000000
-24,86454451;-0,37278540
-24,85954451;0,37278540
-24,85454451;-0,74618600
-24,84954451;-0,37278540
-24,84454451;0,00000000
-24,83954451;-0,55979330
-24,83454451;-0,74618600
-24,82954451;-1,11958700
-24,82454451;-0,93319390
-24,81954451;-0,74618600
-24,81454451;-0,74618600
-24,80954451;-1,30659400
-24,80454451;-1,11958700
-24,79954451;-1,49298700
-24,79454451;-0,93319390
-24,78954451;-1,30659400
-24,78454451;-0,74618600
-24,77954451;-1,30659400
-24,77454451;-0,74618600
-24,76954451;-0,74618600
-24,76454451;-0,55979330
-24,75954451;-0,74618600
-24,75454451;-1,30659400
-24,74954451;-0,74618600
-24,74454451;-0,18639270
-24,73954451;-0,74618600
-24,73454451;-0,37278540
-24,72954451;-0,74618600
-24,72454451;-0,37278540
-24,71954451;-0,55979330
-24,71454451;-0,93319390
-24,70954451;-0,37278540
-24,70454451;-0,37278540
-24,69954451;-0,37278540
-24,69454451;-0,18639270
-24,68954451;-0,55979330
-24,68454451;-0,37278540
-24,67954451;0,18639270
-24,67454451;1,11958700
-24,66954451;-0,74618600
-24,66454451;-0,74618600
-24,65954452;-0,37278540
-24,65454452;-0,93319390
-24,64954452;-0,18639270
