Zeit;Kanal A
(ms);(mV)

-25,00888794;-0,37278540
-25,00388794;-0,55979330
-24,99888794;0,18639270
-24,99388794;-0,55979330
-24,98888794;-0,37278540
-24,98388794;-0,93319390
-24,97888794;-0,74618600
-24,97388794;-0,93319390
-24,96888794;-1,11958700
-24,96388794;-0,74618600
-24,95888794;-0,55979330
-24,95388794;-0,93319390
-24,94888794;-0,37278540
-24,94388794;-0,74618600
-24,93888794;-0,93319390
-24,93388794;-1,11958700
-24,92888794;-1,30659400
-24,92388794;-0,37278540
-24,91888794;-0,37278540
-24,91388794;-0,74618600
-24,90888794;-0,55979330
-24,90388794;-0,37278540
-24,89888794;-0,74618600
-24,89388794;-0,55979330
-24,88888794;0,18639270
-24,88388794;0,55979330
-24,87888794;-0,37278540
-24,87388794;-0,55979330
-24,86888794;-0,37278540
-24,86388794;0,00000000
-24,85888794;-0,37278540
-24,85388794;-0,37278540
-24,84888794;-0,37278540
-24,84388794;-0,18639270
-24,83888794;-0,18639270
-24,83388795;-0,55979330
-24,82888795;-0,37278540
-24,82388795;0,00000000
-24,81888795;-0,37278540
-24,81388795;-0,74618600
-24,80888795;0,00000000
-24,80388795;-0,74618600
-24,79888795;-0,18639270
-24,79388795;-0,55979330
-24,78888795;-0,74618600
-24,78388795;-0,74618600
-24,77888795;-0,74618600
-24,77388795;-0,55979330
-24,76888795;-0,37278540
-24,76388795;-0,74618600
-24,75888795;-0,74618600
-24,75388795;-1,30659400
-24,74888795;-0,74618600
-24,74388795;-1,30659400
-24,73888795;-1,11958700
-24,73388795;-0,37278540
-24,72888795;-0,93319390
-24,72388795;-1,30659400
-24,71888795;-0,37278540
-24,71388795;-1,11958700
-24,70888795;-1,30659400
-24,70388795;-1,67999500
-24,69888795;-1,30659400
-24,69388795;-1,30659400
-24,68888795;-1,49298700
-24,68388795;-1,30659400
-24,67888795;-1,67999500
-24,67388795;-1,67999500
-24,66888795;-1,30659400
-24,66388795;-1,49298700
-24,65888795;-1,11958700
-24,65388795;-0,74618600
