Zeit;Kanal A
(ms);(mV)

-25,00874905;0,00000000
-25,00374905;-0,18639270
-24,99874905;-0,18639270
-24,99374905;0,00000000
-24,98874905;0,55979330
-24,98374905;-0,37278540
-24,97874905;0,18639270
-24,97374905;-0,18639270
-24,96874905;0,00000000
-24,96374905;0,18639270
-24,95874905;0,55979330
-24,95374905;0,37278540
-24,94874905;0,18639270
-24,94374905;0,00000000
-24,93874905;-0,18639270
-24,93374905;-0,18639270
-24,92874905;-0,37278540
-24,92374905;0,37278540
-24,91874905;-0,37278540
-24,91374905;-0,55979330
-24,90874905;-0,37278540
-24,90374905;-0,74618600
-24,89874905;-0,74618600
-24,89374905;-0,37278540
-24,88874905;-0,74618600
-24,88374905;-0,37278540
-24,87874905;-0,74618600
-24,87374906;-0,55979330
-24,86874906;-0,74618600
-24,86374906;-0,37278540
-24,85874906;-0,93319390
-24,85374906;-0,37278540
-24,84874906;-0,37278540
-24,84374906;0,18639270
-24,83874906;0,00000000
-24,83374906;-0,74618600
-24,82874906;0,00000000
-24,82374906;0,00000000
-24,81874906;0,00000000
-24,81374906;-0,55979330
-24,80874906;0,55979330
-24,80374906;-0,18639270
-24,79874906;0,55979330
-24,79374906;0,37278540
-24,78874906;0,18639270
-24,78374906;-0,37278540
-24,77874906;0,00000000
-24,77374906;-0,37278540
-24,76874906;-0,55979330
-24,76374906;0,00000000
-24,75874906;0,18639270
-24,75374906;-0,37278540
-24,74874906;-0,37278540
-24,74374906;-0,37278540
-24,73874906;-0,55979330
-24,73374906;-0,37278540
-24,72874906;0,00000000
-24,72374906;-0,18639270
-24,71874906;-0,55979330
-24,71374906;-0,18639270
-24,70874906;-0,55979330
-24,70374906;0,00000000
-24,69874906;-0,37278540
-24,69374906;-1,11958700
-24,68874906;-0,93319390
-24,68374906;-0,93319390
-24,67874906;-0,74618600
-24,67374906;-0,74618600
-24,66874906;-1,30659400
-24,66374906;-2,98658900
-24,65874906;-0,74618600
-24,65374906;-1,11958700
-24,64874906;-2,05339600
-24,64374906;-0,74618600
