Zeit;Kanal A
(ms);(mV)

-25,00999905;0,55979330
-25,00499905;0,55979330
-24,99999905;0,74618600
-24,99499905;0,93319390
-24,98999905;0,00000000
-24,98499905;1,11958700
-24,97999905;1,11958700
-24,97499905;0,18639270
-24,96999905;1,49298700
-24,96499905;1,11958700
-24,95999905;1,11958700
-24,95499905;1,30659400
-24,94999905;1,67999500
-24,94499905;1,49298700
-24,93999905;2,05339600
-24,93499905;1,86638800
-24,92999905;2,05339600
-24,92499905;2,05339600
-24,91999905;2,23978800
-24,91499905;2,05339600
-24,90999905;2,05339600
-24,90499905;2,61318900
-24,89999905;1,49298700
-24,89499905;1,86638800
-24,88999905;2,05339600
-24,88499905;1,86638800
-24,87999905;2,05339600
-24,87499906;1,30659400
-24,86999906;1,86638800
-24,86499906;1,49298700
-24,85999906;0,93319390
-24,85499906;1,49298700
-24,84999906;1,49298700
-24,84499906;1,49298700
-24,83999906;1,86638800
-24,83499906;1,86638800
-24,82999906;1,49298700
-24,82499906;1,49298700
-24,81999906;1,30659400
-24,81499906;2,05339600
-24,80999906;0,93319390
-24,80499906;1,49298700
-24,79999906;2,61318900
-24,79499906;1,49298700
-24,78999906;1,49298700
-24,78499906;1,86638800
-24,77999906;1,11958700
-24,77499906;1,11958700
-24,76999906;1,30659400
-24,76499906;1,49298700
-24,75999906;1,49298700
-24,75499906;1,11958700
-24,74999906;1,49298700
-24,74499906;1,11958700
-24,73999906;0,93319390
-24,73499906;0,74618600
-24,72999906;0,37278540
-24,72499906;0,74618600
-24,71999906;0,55979330
-24,71499906;0,18639270
-24,70999906;0,37278540
-24,70499906;0,55979330
-24,69999906;0,55979330
-24,69499906;0,55979330
-24,68999906;0,74618600
-24,68499906;0,00000000
-24,67999906;0,18639270
-24,67499906;0,93319390
-24,66999906;0,93319390
-24,66499906;0,37278540
-24,65999906;-0,37278540
-24,65499906;0,74618600
-24,64999906;0,37278540
-24,64499906;0,18639270
-24,63999906;0,37278540
-24,63499906;0,18639270
-24,62999906;0,18639270
