Zeit;Kanal A
(ms);(mV)

-25,00722127;0,18639270
-25,00222127;0,18639270
-24,99722127;0,18639270
-24,99222127;-0,18639270
-24,98722127;-0,55979330
-24,98222127;-0,37278540
-24,97722127;-0,37278540
-24,97222127;-0,37278540
-24,96722127;-0,93319390
-24,96222128;-0,74618600
-24,95722128;-0,55979330
-24,95222128;-0,37278540
-24,94722128;-0,74618600
-24,94222128;-0,55979330
-24,93722128;-0,74618600
-24,93222128;-0,18639270
-24,92722128;-0,37278540
-24,92222128;0,00000000
-24,91722128;-0,37278540
-24,91222128;-0,37278540
-24,90722128;0,00000000
-24,90222128;0,00000000
-24,89722128;-0,18639270
-24,89222128;-0,37278540
-24,88722128;-0,37278540
-24,88222128;-0,55979330
-24,87722128;-0,37278540
-24,87222128;-1,30659400
-24,86722128;-1,11958700
-24,86222128;-0,18639270
-24,85722128;-1,11958700
-24,85222128;-1,11958700
-24,84722128;-1,11958700
-24,84222128;-1,67999500
-24,83722128;-0,74618600
-24,83222128;-0,93319390
-24,82722128;-0,93319390
-24,82222128;-0,74618600
-24,81722128;-0,74618600
-24,81222128;-1,30659400
-24,80722128;-0,74618600
-24,80222128;-0,74618600
-24,79722128;0,00000000
-24,79222128;-0,74618600
-24,78722128;-0,74618600
-24,78222128;-0,74618600
-24,77722128;-0,55979330
-24,77222128;0,18639270
-24,76722128;-0,37278540
-24,76222128;0,00000000
-24,75722128;-0,37278540
-24,75222128;-0,37278540
-24,74722128;0,18639270
-24,74222128;-0,18639270
-24,73722128;0,18639270
-24,73222128;-0,55979330
-24,72722128;-0,37278540
-24,72222128;-0,37278540
-24,71722128;0,00000000
-24,71222128;-0,55979330
-24,70722128;0,00000000
-24,70222128;-0,93319390
-24,69722128;-0,74618600
-24,69222128;-0,74618600
-24,68722128;-0,18639270
-24,68222128;0,00000000
-24,67722128;-0,74618600
-24,67222128;1,11958700
-24,66722128;0,18639270
-24,66222128;-0,74618600
-24,65722128;-0,74618600
-24,65222128;0,00000000
-24,64722128;-0,55979330
