Zeit;Kanal A
(ms);(mV)

-25,00937405;-0,74618600
-25,00437405;-0,37278540
-24,99937405;0,00000000
-24,99437405;-0,37278540
-24,98937405;0,00000000
-24,98437405;0,00000000
-24,97937405;-0,37278540
-24,97437405;-0,37278540
-24,96937405;-0,37278540
-24,96437405;-0,74618600
-24,95937405;-0,55979330
-24,95437405;-0,74618600
-24,94937405;-0,74618600
-24,94437405;-0,74618600
-24,93937405;-1,11958700
-24,93437405;-0,93319390
-24,92937405;-1,49298700
-24,92437405;-1,11958700
-24,91937405;-1,11958700
-24,91437405;-0,37278540
-24,90937405;-1,11958700
-24,90437405;-0,93319390
-24,89937405;-0,93319390
-24,89437405;-0,93319390
-24,88937405;-0,55979330
-24,88437405;-0,93319390
-24,87937405;-0,37278540
-24,87437406;-0,37278540
-24,86937406;-0,37278540
-24,86437406;0,00000000
-24,85937406;-0,37278540
-24,85437406;0,00000000
-24,84937406;0,18639270
-24,84437406;-0,55979330
-24,83937406;0,00000000
-24,83437406;-0,74618600
-24,82937406;0,18639270
-24,82437406;0,18639270
-24,81937406;1,49298700
-24,81437406;0,00000000
-24,80937406;-0,37278540
-24,80437406;-0,74618600
-24,79937406;-0,37278540
-24,79437406;-0,37278540
-24,78937406;0,00000000
-24,78437406;-0,37278540
-24,77937406;0,18639270
-24,77437406;0,00000000
-24,76937406;-0,37278540
-24,76437406;-0,37278540
-24,75937406;0,00000000
-24,75437406;-0,74618600
-24,74937406;-0,37278540
-24,74437406;-0,93319390
-24,73937406;-0,74618600
-24,73437406;-0,55979330
-24,72937406;-0,55979330
-24,72437406;-0,93319390
-24,71937406;-0,74618600
-24,71437406;-0,93319390
-24,70937406;-0,55979330
-24,70437406;-0,55979330
-24,69937406;-0,74618600
-24,69437406;-0,74618600
-24,68937406;-0,55979330
-24,68437406;-1,30659400
-24,67937406;0,18639270
-24,67437406;-1,11958700
-24,66937406;-0,37278540
-24,66437406;-1,11958700
-24,65937406;-1,30659400
-24,65437406;-1,67999500
-24,64937406;-1,30659400
